0x00	screen_bathroom_stall_door_open
0x67	screen_kedzie_bungalow_door_open
0x6A	screen_kedzie_bungalow_inside
0x6B	screen_sherman_st_outside_door_closed
0x6C	screen_sherman_st_outside_door_open
0x6F	screen_sherman_st_lobby
0x70	screen_sherman_st_outside_brodys_office_door_closed
0x71	screen_sherman_st_outside_brodys_office_door_opened
0x72	screen_sherman_st_inside_brodys_office_filing_cabinet_open
0x73	screen_your_office_door_after_shooting_it
0x74	screen_your_office_door_after_opening_it
0x75	screen_your_office
0x76	screen_man_in_your_office
0x77	screen_outside_auburn_rd_house
0x79	screen_outside_auburn_rd_house_front_door_closed
0x7A	screen_butler
0x7B	screen_inside_mansion_right_door_closed
0x7C	screen_inside_mansion_right_door_open
0x7D	screen_mansion_kitchen
0x7E	screen_mansion_upstairs_doors_closed
0x7F	screen_mansion_upstairs_left_door_closed_right_door_open
0x80	screen_mansion_upstairs_left_door_open_right_door_closed
0x81	screen_mansion_upstairs_both_doors_open
0x82	screen_mansion_master_bedroom
0x83	screen_mansion_master_bedroom_door_open
0x84	screen_mansion_bedroom_door_closed
0x85	screen_mansion_bedroom_door_opened
0x86	screen_sewer
0x87	screen_sewer_three-way_path
0x88	screen_sewer_manhole_closed
0x89	screen_sewer_path_and_ladder
0x8A	screen_sewer_deepest_part
0x8B	screen_sewer_under_manhole_closed
0x8C	screen_sewer_under_manhole_open
0x8D	screen_alligator
0x8E	screen_dead_alligator
0x8F	screen_mystery_scene_bathroom_beginning
0x90	screen_you_cleared_your_name
0x91	screen_ace_harding_school_of_investigation
0x92	screen_handcuffs
0x93	screen_rip_ace_harding
0x94	screen_socko
0x95	screen_blam
0x96	screen_kaboom
0x97	screen_slot_machine
0x98	screen_snapshot
